condition,cellId,mean_speed,max_speed,std_speed,total_displacement,trajectory_length,mean_area,std_area,mean_volume,std_volume,residence_time,lateral_migration
Healthy,-327,0.015981115554111004,0.01633277761394799,0.00022699835929688568,5.145226256177561e-05,5.145486742202557e-05,1.3257691640866874e-10,1.0213533293750845e-12,8.115125944272445e-17,2.616937655454707e-20,323,4.212699999999984e-07
Healthy,-326,0.016137192393266695,0.01657540305779636,0.00021385160500511996,5.12992257041507e-05,5.1303138008321066e-05,1.3232280250783698e-10,2.2058506299735477e-12,8.105698181818182e-17,2.708703735941266e-20,319,9.29560000000001e-07
Healthy,-316,0.011945189355260483,0.012107456735782066,5.493535096761033e-05,1.6594998952923166e-05,1.6595286577091467e-05,1.4218924285714284e-10,5.344625199210993e-13,8.117004214285714e-17,7.937100214175646e-20,140,4.609999999999944e-08
Healthy,-310,0.017054823005226722,0.01729248332540633,0.00013951851857406521,5.132206053883672e-05,5.132808786766689e-05,1.3966883774834437e-10,1.172773067536555e-12,8.107463178807946e-17,2.1247639293100175e-20,302,8.443999999999999e-07
Healthy,-299,0.01340000465088633,0.01459046008309296,0.0005016227149354729,5.130439998808251e-05,5.1307467062738286e-05,1.3603251041666668e-10,3.1487692742482666e-12,8.107705234374999e-17,1.4682194496176765e-20,384,2.718999999999999e-07
Healthy,-296,0.016258810807434698,0.01686531579318216,0.00026159517339612286,5.135721015412112e-05,5.1361858954846715e-05,1.3660485804416402e-10,1.5375692189955192e-12,8.109943943217665e-17,1.3272289241192576e-20,317,6.278999999999995e-07
Healthy,-282,0.015009864918994595,0.01625378719386539,0.0005146415000508888,5.13058557817717e-05,5.132141689691373e-05,1.3406473177842568e-10,2.1469907536521623e-12,8.119188017492712e-17,3.0348663235853215e-20,343,3.2349999999999953e-07
Healthy,-277,0.017202216481108396,0.017464635741660916,9.240579584894676e-05,5.1421109920749716e-05,5.142406669187897e-05,1.3307476333333334e-10,9.48725591596109e-13,8.1071754e-17,6.795337079208703e-21,300,5.758599999999996e-07
Healthy,-275,0.015484281059473555,0.015710070412115442,7.916989839913078e-05,5.138995165929425e-05,5.139538900445775e-05,1.3137918318318317e-10,3.2118476909462604e-12,8.107780630630632e-17,8.193539321730041e-21,333,2.8211999999999993e-07
Healthy,-253,0.011638375232395245,0.01254389619996207,0.0005601562008350405,5.1432379531145374e-05,5.143477495175439e-05,1.387954966139955e-10,2.148958652761403e-12,8.116452821670429e-17,4.855679273354336e-20,443,6.2207e-07
Healthy,-250,0.014734445098789671,0.015629622728043854,0.000674948386481014,5.137355973751292e-05,5.141515796631046e-05,1.3433636857142856e-10,3.674927073503775e-12,8.103431342857143e-17,2.6627415848034455e-20,350,1.9187000000000025e-06
Healthy,-237,0.01663732766011306,0.017320059175239936,0.00040488590137700506,5.138884711685449e-05,5.139912673257346e-05,1.3976462258064518e-10,1.2841098724552388e-12,8.103803741935483e-17,9.086973844044273e-21,310,9.136999999999994e-07
